Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Loan_Status_NUM,Total_Income,LoanAmount_Log,Total_Income_Log,Loan_to_Income_Ratio
LP001002,Male,No,0,Graduate,No,5849,0.0,128.0,360.0,1.0,Urban,Y,1,5849.0,4.852030263919617,8.674025985443025,0.021884082749187895
LP001003,Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N,0,6091.0,4.852030263919617,8.714567550836485,0.0210146117222131
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y,1,3000.0,4.189654742026425,8.006367567650246,0.022
LP001006,Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y,1,4941.0,4.787491742782046,8.50532301884575,0.024286581663630843
LP001008,Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y,1,6000.0,4.948759890378168,8.699514748210191,0.0235
LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y,1,9613.0,5.58724865840025,9.170871628065816,0.027774888172266723
LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y,1,3849.0,4.553876891600541,8.255568653283746,0.024681735515718367
LP001014,Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N,0,5540.0,5.062595033026967,8.61974977974133,0.02851985559566787
LP001018,Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y,1,5532.0,5.123963979403259,8.61830469278465,0.03036876355748373
LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N,0,23809.0,5.855071922202427,10.077818939438902,0.014658322483094628
LP001024,Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y,1,3900.0,4.248495242049359,8.268731832117737,0.017948717948717947
LP001027,Male,Yes,2,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,Y,1,4340.0,4.6913478822291435,8.375629627094451,0.02511520737327189
LP001028,Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y,1,11179.0,5.298317366548036,9.321792297270326,0.01789068789694964
LP001029,Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N,0,4693.0,4.736198448394496,8.453827315794417,0.024291497975708502
LP001030,Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,Y,1,2385.0,2.833213344056216,7.776954403322442,0.007127882599580713
LP001032,Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y,1,4950.0,4.8283137373023015,8.507142855562735,0.025252525252525252
LP001034,Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,1.0,Urban,Y,1,3596.0,4.605170185988092,8.18757739559151,0.027808676307007785
LP001036,Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N,0,3510.0,4.330733340286331,8.163371316459912,0.021652421652421653
LP001038,Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,N,0,4887.0,4.890349128221754,8.494333897270154,0.027215060364231634
LP001041,Male,Yes,0,Graduate,No,2600,3500.0,115.0,360.0,1.0,Urban,Y,1,6100.0,4.74493212836325,8.716044050161402,0.018852459016393444
LP001043,Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,N,0,7660.0,4.6443908991413725,8.943767262734637,0.013577023498694517
LP001046,Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,Y,1,11580.0,5.752572638825633,9.357034751126987,0.027202072538860103
LP001047,Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,N,0,4511.0,4.7535901911063645,8.414274137408396,0.025714919086677012
LP001050,Male,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,N,0,5282.0,4.718498871295094,8.572060092857077,0.021204089360090876
LP001052,Male,Yes,1,Graduate,No,3717,2925.0,151.0,360.0,1.0,Semiurban,N,0,6642.0,5.017279836814924,8.801168401936692,0.02273411623005119
LP001066,Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,Y,1,9560.0,5.25227342804663,9.165343006045447,0.01997907949790795
LP001068,Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,Y,1,5052.0,4.804021044733257,8.527539483470381,0.02414885193982581
LP001073,Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,Y,1,5266.0,4.700480365792417,8.569026340056254,0.020888720091150777
LP001086,Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,N,0,1442.0,3.5553480614894135,7.273786317844895,0.024271844660194174
LP001087,Female,No,2,Graduate,No,3750,2083.0,120.0,360.0,1.0,Semiurban,Y,1,5833.0,4.787491742782046,8.671286726753637,0.020572604148808505
LP001091,Male,Yes,1,Graduate,No,4166,3369.0,201.0,360.0,1.0,Urban,N,0,7535.0,5.303304908059076,8.927314111060596,0.026675514266755143
